[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35166 | mensaje: client_id=send-4; group_id=1; seq=2; timestamp_ms=1778586583134; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35172 | mensaje: client_id=send-3; group_id=1; seq=2; timestamp_ms=1778586583142; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35188 | mensaje: client_id=send-5; group_id=1; seq=2; timestamp_ms=1778586583153; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35204 | mensaje: client_id=send-1; group_id=1; seq=3; timestamp_ms=1778586584105; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35214 | mensaje: client_id=send-2; group_id=1; seq=3; timestamp_ms=1778586584121; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35238 | mensaje: client_id=send-4; group_id=1; seq=3; timestamp_ms=1778586584156; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35222 | mensaje: client_id=send-3; group_id=1; seq=3; timestamp_ms=1778586584153; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35242 | mensaje: client_id=send-5; group_id=1; seq=3; timestamp_ms=1778586584169; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35256 | mensaje: client_id=send-1; group_id=1; seq=4; timestamp_ms=1778586585111; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35260 | mensaje: client_id=send-2; group_id=1; seq=4; timestamp_ms=1778586585139; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35270 | mensaje: client_id=send-3; group_id=1; seq=4; timestamp_ms=1778586585189; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35286 | mensaje: client_id=send-4; group_id=1; seq=4; timestamp_ms=1778586585186; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35294 | mensaje: client_id=send-5; group_id=1; seq=4; timestamp_ms=1778586585201; message=prueba 5 emisores grupo 1
